ID,CATEGORY
0,snowman
1,pig
2,penguin
3,spider
4,skyscraper
5,banana
6,snowman
7,skyscraper
8,chair
9,eyeglasses
10,trombone
11,banana
12,parrot
13,keyboard
14,flashlight
15,spider
16,pig
17,foot
18,trombone
19,foot
20,flashlight
21,penguin
22,eyeglasses
23,foot
24,chair
25,pig
26,flashlight
27,spider
28,spider
29,eyeglasses
30,banana
31,pig
32,foot
33,harp
34,chair
35,laptop
36,laptop
37,trombone
38,harp
39,penguin
40,spider
41,violin
42,spider
43,skyscraper
44,pig
45,trombone
46,trombone
47,keyboard
48,hand
49,nose
50,spider
51,foot
52,laptop
53,pig
54,harp
55,nose
56,snowman
57,trombone
58,bulldozer
59,nose
60,trombone
61,hat
62,nose
63,chair
64,keyboard
65,spider
66,penguin
67,banana
68,keyboard
69,foot
70,spider
71,chair
72,pig
73,harp
74,trombone
75,parrot
76,violin
77,penguin
78,nose
79,flashlight
80,bulldozer
81,penguin
82,trombone
83,trombone
84,trombone
85,eyeglasses
86,bulldozer
87,trombone
88,violin
89,eyeglasses
90,flashlight
91,hand
92,bulldozer
93,penguin
94,nose
95,parrot
96,spider
97,banana
98,violin
99,hat
100,laptop
101,harp
102,hand
103,penguin
104,bulldozer
105,chair
106,spider
107,bulldozer
108,chair
109,hat
110,eyeglasses
111,harp
112,flashlight
113,foot
114,keyboard
115,hand
116,parrot
117,eyeglasses
118,foot
119,skyscraper
120,flashlight
121,violin
122,spider
123,penguin
124,harp
125,trombone
126,bulldozer
127,harp
128,laptop
129,eyeglasses
130,penguin
131,snowman
132,hand
133,hand
134,hat
135,flashlight
136,banana
137,harp
138,banana
139,trombone
140,nose
141,skyscraper
142,hand
143,hat
144,trombone
145,harp
146,eyeglasses
147,spider
148,violin
149,pig
150,penguin
151,skyscraper
152,banana
153,foot
154,banana
155,hand
156,harp
157,flashlight
158,spider
159,bulldozer
160,eyeglasses
161,foot
162,chair
163,parrot
164,bulldozer
165,eyeglasses
166,foot
167,keyboard
168,hat
169,laptop
170,flashlight
171,chair
172,harp
173,laptop
174,skyscraper
175,banana
176,hat
177,flashlight
178,flashlight
179,flashlight
180,bulldozer
181,laptop
182,pig
183,foot
184,trombone
185,hand
186,bulldozer
187,violin
188,spider
189,chair
190,eyeglasses
191,snowman
192,flashlight
193,banana
194,skyscraper
195,flashlight
196,eyeglasses
197,eyeglasses
198,trombone
199,foot
200,chair
201,eyeglasses
202,skyscraper
203,skyscraper
204,eyeglasses
205,bulldozer
206,spider
207,flashlight
208,nose
209,snowman
210,bulldozer
211,chair
212,laptop
213,laptop
214,foot
215,nose
216,foot
217,hand
218,flashlight
219,chair
220,penguin
221,violin
222,parrot
223,penguin
224,flashlight
225,eyeglasses
226,penguin
227,eyeglasses
228,skyscraper
229,trombone
230,violin
231,spider
232,foot
233,flashlight
234,eyeglasses
235,keyboard
236,spider
237,foot
238,trombone
239,eyeglasses
240,parrot
241,banana
242,trombone
243,hand
244,banana
245,violin
246,spider
247,flashlight
248,eyeglasses
249,chair
250,harp
251,bulldozer
252,flashlight
253,harp
254,eyeglasses
255,harp
256,snowman
257,spider
258,foot
259,flashlight
260,eyeglasses
261,foot
262,nose
263,eyeglasses
264,banana
265,hand
266,parrot
267,penguin
268,parrot
269,penguin
270,flashlight
271,nose
272,skyscraper
273,hat
274,penguin
275,eyeglasses
276,foot
277,violin
278,nose
279,violin
280,banana
281,pig
282,chair
283,banana
284,banana
285,parrot
286,harp
287,violin
288,hand
289,trombone
290,laptop
291,spider
292,spider
293,flashlight
294,parrot
295,hand
296,flashlight
297,hand
298,skyscraper
299,hand
300,chair
301,trombone
302,flashlight
303,skyscraper
304,penguin
305,penguin
306,pig
307,harp
308,chair
309,pig
310,chair
311,spider
312,foot
313,skyscraper
314,bulldozer
315,keyboard
316,penguin
317,flashlight
318,eyeglasses
319,trombone
320,violin
321,chair
322,hat
323,keyboard
324,skyscraper
325,flashlight
326,banana
327,flashlight
328,violin
329,banana
330,keyboard
331,trombone
332,pig
333,eyeglasses
334,flashlight
335,hat
336,foot
337,foot
338,skyscraper
339,penguin
340,eyeglasses
341,hand
342,spider
343,foot
344,flashlight
345,hat
346,keyboard
347,banana
348,trombone
349,flashlight
350,eyeglasses
351,banana
352,nose
353,nose
354,penguin
355,flashlight
356,laptop
357,bulldozer
358,penguin
359,trombone
360,nose
361,violin
362,violin
363,skyscraper
364,penguin
365,flashlight
366,hand
367,flashlight
368,spider
369,keyboard
370,spider
371,bulldozer
372,hand
