ID,CATEGORY
0,skyscraper
1,pig
2,skyscraper
3,harp
4,chair
5,chair
6,skyscraper
7,chair
8,eyeglasses
9,harp
10,laptop
11,pig
12,penguin
13,banana
14,foot
15,spider
16,pig
17,parrot
18,harp
19,snowman
20,spider
21,hand
22,nose
23,keyboard
24,hand
25,laptop
26,snowman
27,harp
28,pig
29,nose
30,keyboard
31,snowman
32,eyeglasses
33,chair
34,trombone
35,parrot
36,hat
37,laptop
38,hand
39,skyscraper
40,harp
41,laptop
42,flashlight
43,parrot
44,hand
45,nose
46,spider
47,banana
48,nose
49,parrot
50,penguin
51,trombone
52,eyeglasses
53,harp
54,flashlight
55,parrot
56,skyscraper
57,spider
58,flashlight
59,parrot
60,flashlight
61,trombone
62,bulldozer
63,foot
64,spider
65,flashlight
66,chair
67,keyboard
68,banana
69,skyscraper
70,flashlight
71,hand
72,pig
73,penguin
74,harp
75,bulldozer
76,hand
77,penguin
78,parrot
79,laptop
80,pig
81,penguin
82,harp
83,harp
84,spider
85,laptop
86,hat
87,laptop
88,chair
89,nose
90,spider
91,laptop
92,trombone
93,chair
94,bulldozer
95,penguin
96,harp
97,eyeglasses
98,foot
99,skyscraper
100,hand
101,pig
102,snowman
103,penguin
104,spider
105,hand
106,harp
107,laptop
108,eyeglasses
109,skyscraper
110,laptop
111,violin
112,spider
113,keyboard
114,laptop
115,harp
116,skyscraper
117,banana
118,trombone
119,chair
120,laptop
121,hat
122,harp
123,hand
124,penguin
125,harp
126,flashlight
127,violin
128,pig
129,spider
130,penguin
131,skyscraper
132,snowman
133,harp
134,laptop
135,eyeglasses
136,keyboard
137,snowman
138,keyboard
139,flashlight
140,parrot
141,hand
142,snowman
143,laptop
144,laptop
145,skyscraper
146,laptop
147,snowman
148,foot
149,harp
150,penguin
151,bulldozer
152,hand
153,keyboard
154,skyscraper
155,snowman
156,foot
157,spider
158,spider
159,pig
160,laptop
161,keyboard
162,hand
163,chair
164,keyboard
165,laptop
166,trombone
167,banana
168,pig
169,violin
170,foot
171,skyscraper
172,violin
173,violin
174,bulldozer
175,trombone
176,trombone
177,spider
178,spider
179,spider
180,trombone
181,hat
182,snowman
183,skyscraper
184,spider
185,snowman
186,pig
187,hand
188,flashlight
189,trombone
190,banana
191,skyscraper
192,spider
193,keyboard
194,chair
195,spider
196,laptop
197,spider
198,harp
199,eyeglasses
200,eyeglasses
201,spider
202,skyscraper
203,bulldozer
204,laptop
205,laptop
206,harp
207,chair
208,parrot
209,chair
210,flashlight
211,skyscraper
212,penguin
213,violin
214,trombone
215,parrot
216,pig
217,snowman
218,spider
219,skyscraper
220,skyscraper
221,foot
222,snowman
223,bulldozer
224,spider
225,spider
226,bulldozer
227,spider
228,bulldozer
229,laptop
230,hand
231,flashlight
232,hat
233,spider
234,harp
235,banana
236,spider
237,hand
238,spider
239,laptop
240,penguin
241,keyboard
242,laptop
243,harp
244,chair
245,eyeglasses
246,harp
247,spider
248,banana
249,hat
250,hat
251,pig
252,eyeglasses
253,penguin
254,banana
255,hat
256,keyboard
257,harp
258,keyboard
259,foot
260,spider
261,snowman
262,parrot
263,spider
264,keyboard
265,snowman
266,hand
267,hand
268,hand
269,eyeglasses
