ID,CATEGORY
0,pig
1,pig
2,pig
3,pig
4,nose
5,penguin
6,pig
7,pig
8,penguin
9,nose
10,hand
11,nose
12,pig
13,foot
14,nose
15,pig
16,nose
17,chair
18,foot
19,nose
20,foot
21,hand
22,pig
23,penguin
24,chair
25,harp
26,chair
27,hand
28,pig
29,chair
30,hand
31,pig
32,chair
33,pig
34,pig
35,nose
36,penguin
37,foot
38,pig
39,harp
40,pig
41,hand
42,pig
43,foot
44,chair
45,pig
46,hand
47,hand
48,pig
49,pig
50,chair
51,flashlight
52,hand
53,foot
54,pig
55,hand
56,violin
57,pig
58,pig
59,keyboard
60,foot
61,chair
62,pig
63,chair
64,hand
65,hand
66,pig
67,pig
68,pig
69,spider
70,pig
71,harp
72,hand
73,pig
74,pig
75,penguin
76,nose
77,pig
78,chair
79,chair
80,chair
81,pig
82,chair
83,foot
84,pig
85,pig
86,pig
87,pig
88,pig
89,pig
90,foot
91,pig
92,pig
93,pig
94,snowman
95,pig
96,pig
97,hand
98,pig
99,pig
100,pig
101,pig
102,pig
103,penguin
104,harp
105,pig
106,pig
107,pig
108,spider
109,chair
110,nose
111,pig
112,foot
113,pig
114,pig
115,chair
116,harp
117,harp
118,chair
119,nose
120,hand
121,chair
122,foot
123,nose
124,chair
125,chair
126,pig
127,chair
128,pig
129,pig
130,harp
131,hand
132,penguin
133,pig
134,pig
135,pig
136,harp
137,pig
138,flashlight
139,pig
140,pig
141,pig
142,pig
143,spider
144,chair
145,chair
146,chair
147,chair
148,chair
149,hand
150,pig
151,snowman
152,pig
153,harp
154,pig
155,pig
156,pig
157,keyboard
158,pig
159,hand
160,foot
161,pig
162,spider
163,pig
164,pig
165,chair
166,pig
167,chair
168,nose
169,foot
170,chair
171,pig
172,foot
173,chair
174,flashlight
175,hand
176,flashlight
177,hand
178,pig
179,pig
180,foot
181,pig
182,pig
183,pig
184,foot
185,pig
186,hand
187,foot
188,pig
189,pig
190,foot
191,pig
192,pig
193,nose
194,hand
195,pig
196,foot
197,pig
198,chair
199,hand
200,chair
201,pig
202,chair
203,hand
204,harp
205,pig
206,spider
207,violin
208,foot
209,nose
210,pig
211,chair
212,pig
213,nose
214,chair
215,bulldozer
216,chair
217,pig
218,hand
219,chair
220,pig
221,pig
222,hand
223,pig
224,pig
225,pig
226,pig
227,chair
228,chair
229,chair
230,nose
231,hand
232,spider
233,pig
234,chair
235,pig
236,foot
237,pig
238,hand
239,pig
240,pig
241,pig
242,pig
243,pig
244,foot
245,pig
246,pig
247,pig
248,nose
249,pig
250,nose
251,spider
252,hand
253,pig
254,pig
255,foot
256,chair
257,pig
258,chair
259,nose
260,hand
261,violin
262,foot
263,violin
264,chair
265,pig
266,chair
267,harp
268,hand
269,pig
270,flashlight
271,chair
272,pig
273,nose
274,pig
275,hand
276,pig
277,violin
278,flashlight
279,nose
280,violin
281,pig
282,violin
283,pig
284,pig
285,hand
286,nose
287,pig
288,nose
289,chair
290,pig
291,penguin
292,pig
293,foot
294,harp
295,flashlight
296,chair
297,harp
298,pig
299,pig
300,pig
301,pig
302,chair
303,pig
304,harp
305,pig
306,pig
307,hand
308,spider
309,pig
310,bulldozer
311,chair
312,keyboard
313,pig
314,pig
315,pig
316,pig
317,pig
318,harp
319,pig
320,nose
321,chair
322,pig
323,chair
324,chair
325,hand
326,spider
327,foot
328,pig
329,harp
330,chair
331,pig
332,chair
333,pig
334,pig
335,penguin
336,pig
337,foot
338,pig
339,pig
340,chair
341,pig
342,pig
343,nose
344,nose
345,hand
346,foot
347,pig
348,pig
349,pig
350,hand
351,snowman
352,hand
353,pig
354,foot
355,flashlight
356,pig
357,hand
358,pig
359,pig
360,pig
361,hand
362,harp
363,pig
364,pig
365,pig
366,chair
367,hand
368,pig
369,foot
370,bulldozer
371,hand
372,hand
373,pig
374,pig
375,nose
376,pig
377,pig
378,pig
379,pig
380,pig
381,chair
382,pig
383,pig
384,chair
385,pig
386,chair
387,pig
388,pig
389,hand
390,foot
391,hand
392,pig
393,chair
394,chair
395,pig
396,penguin
397,pig
398,hand
399,pig
400,pig
401,pig
402,pig
403,pig
404,pig
405,pig
406,penguin
407,hand
408,pig
409,penguin
410,pig
411,hand
412,nose
413,pig
414,penguin
415,pig
416,penguin
417,chair
418,chair
419,hand
420,pig
421,pig
422,pig
423,hand
424,pig
425,pig
426,harp
427,pig
428,chair
429,chair
430,chair
431,bulldozer
432,pig
433,chair
434,hand
435,chair
436,pig
437,pig
438,pig
439,hand
440,foot
441,pig
442,pig
443,foot
444,pig
445,pig
446,hand
447,harp
448,pig
449,pig
450,pig
451,pig
452,pig
453,pig
454,hand
455,hand
456,penguin
457,penguin
458,chair
459,pig
460,pig
461,harp
462,pig
463,pig
464,pig
465,pig
466,harp
467,nose
468,pig
469,chair
470,pig
471,pig
472,pig
473,pig
474,nose
475,pig
476,hand
477,hand
478,chair
479,pig
480,pig
481,pig
482,pig
483,pig
484,pig
485,hand
486,spider
487,chair
488,penguin
489,pig
490,nose
491,pig
492,pig
493,chair
494,nose
495,hand
496,chair
497,pig
498,pig
499,nose
500,chair
501,chair
502,pig
503,pig
504,flashlight
505,pig
506,chair
507,pig
508,pig
509,nose
510,pig
511,chair
512,pig
513,flashlight
514,pig
515,pig
516,pig
517,pig
518,pig
519,pig
520,foot
521,pig
522,pig
523,chair
524,pig
525,pig
526,pig
527,chair
528,pig
529,harp
530,chair
531,pig
532,harp
533,harp
534,harp
535,pig
536,penguin
537,pig
538,chair
539,hand
540,pig
541,pig
542,pig
543,nose
544,chair
545,pig
546,pig
547,hand
548,chair
549,pig
550,pig
551,pig
552,keyboard
553,spider
554,pig
555,pig
556,foot
557,pig
558,pig
559,foot
560,foot
561,pig
562,chair
563,chair
564,pig
565,pig
566,pig
567,harp
568,pig
569,hand
570,pig
571,pig
572,hand
573,pig
574,pig
575,pig
576,pig
577,pig
578,nose
579,pig
580,pig
581,pig
582,nose
583,nose
584,pig
585,penguin
586,nose
587,nose
588,violin
589,penguin
590,chair
591,pig
592,penguin
593,pig
594,harp
595,hand
596,hand
597,chair
598,chair
599,pig
600,hand
601,pig
602,pig
603,pig
604,violin
605,pig
606,pig
607,hand
608,hand
609,chair
610,pig
611,pig
612,pig
613,pig
614,pig
615,hand
616,pig
617,chair
618,pig
619,pig
620,hand
621,foot
622,nose
623,bulldozer
624,hand
625,pig
626,pig
627,pig
628,chair
629,nose
630,chair
631,pig
632,pig
633,chair
634,chair
635,chair
636,pig
637,hand
638,pig
639,chair
640,nose
641,pig
642,harp
643,chair
644,pig
645,pig
646,harp
647,pig
648,chair
649,pig
650,nose
651,pig
652,pig
653,nose
654,pig
655,pig
656,chair
657,pig
658,pig
659,chair
660,pig
661,pig
662,pig
663,hand
664,pig
665,nose
666,pig
667,nose
668,harp
669,pig
670,penguin
671,pig
672,pig
673,pig
674,foot
675,chair
676,flashlight
677,pig
678,foot
679,harp
680,violin
681,pig
682,penguin
683,pig
684,pig
685,chair
686,pig
687,hand
688,pig
689,pig
690,pig
691,chair
692,pig
693,pig
694,pig
695,pig
696,pig
697,chair
698,chair
699,pig
700,pig
701,snowman
702,pig
703,chair
704,chair
705,hand
706,pig
707,pig
708,pig
709,nose
710,hand
711,hand
712,penguin
713,harp
714,pig
715,chair
716,pig
717,pig
718,pig
719,chair
720,harp
721,pig
722,foot
723,pig
724,pig
725,foot
726,foot
727,foot
728,chair
729,pig
730,pig
731,chair
732,pig
733,pig
734,flashlight
735,pig
736,pig
737,pig
738,pig
739,pig
740,violin
741,harp
742,spider
743,harp
744,pig
745,pig
746,chair
747,harp
748,pig
749,penguin
750,penguin
751,chair
752,foot
753,hand
754,chair
755,pig
756,nose
757,pig
758,chair
759,pig
760,foot
761,hand
762,pig
763,foot
764,foot
765,pig
766,pig
767,pig
768,harp
769,pig
770,pig
771,pig
772,nose
773,pig
774,pig
775,chair
776,penguin
777,pig
778,foot
779,pig
780,pig
781,pig
782,pig
783,hand
784,chair
785,chair
786,pig
787,hand
788,foot
789,hand
790,nose
791,chair
792,chair
793,chair
794,pig
795,pig
796,pig
797,pig
798,pig
799,chair
800,spider
801,hand
802,hand
803,pig
804,pig
805,chair
806,chair
807,chair
808,pig
809,chair
810,pig
811,foot
812,pig
813,pig
814,pig
815,pig
816,chair
817,hand
818,pig
819,nose
820,pig
821,pig
822,pig
823,pig
824,foot
825,chair
826,pig
827,pig
828,pig
829,hand
830,pig
831,hand
832,hand
833,pig
834,nose
835,pig
836,pig
837,pig
838,pig
839,penguin
840,hand
841,hand
842,flashlight
843,pig
844,violin
845,pig
846,pig
847,nose
848,pig
849,nose
850,chair
851,pig
852,harp
853,foot
854,pig
855,chair
856,hand
857,chair
858,chair
859,hand
860,penguin
861,hand
862,pig
863,pig
864,pig
865,chair
866,pig
867,hand
868,penguin
869,chair
870,hand
871,harp
872,harp
873,chair
874,nose
875,pig
876,pig
877,chair
878,keyboard
879,chair
880,foot
881,harp
882,nose
883,chair
884,pig
885,pig
886,bulldozer
887,foot
